metric	prcp	t2m	u10m	v10m
RMSE	11.06	0.96	0.53	0.59
MAE	5.77	0.78	0.40	0.45
CORR	0.39	0.98	0.88	0.89
CRPS	5.77	0.78	0.40	0.45
STD_DEV	0.00	0.00	0.00	0.00
