metric	prcp	t2m	u10m	v10m
RMSE	8.14	0.51	0.43	0.48
MAE	4.35	0.41	0.31	0.36
CRPS	4.35	0.41	0.31	0.36
STD_DEV	0.00	0.00	0.00	0.00
