month	prcp	t2m	u10m	v10m
1	0.99	0.40	0.28	0.33
2	0.74	0.40	0.29	0.33
3	1.03	0.44	0.29	0.34
4	2.50	0.49	0.30	0.36
5	4.85	0.52	0.35	0.40
6	7.37	0.38	0.30	0.35
7	8.43	0.40	0.34	0.36
8	9.98	0.42	0.40	0.38
9	9.21	0.34	0.33	0.41
10	5.23	0.35	0.30	0.38
11	0.61	0.34	0.25	0.30
12	1.01	0.44	0.29	0.33
