year_bin	prcp	t2m	u10m	v10m
2015-2024	5.61	0.80	0.41	0.43
2025-2034	5.85	0.81	0.41	0.43
2035-2044	6.26	0.79	0.41	0.44
2045-2054	6.40	0.79	0.41	0.44
2055-2064	6.91	0.82	0.42	0.45
2065-2074	7.12	0.83	0.42	0.46
2075-2080	7.10	0.87	0.42	0.47
