month	pr	tas	uas	vas
1	2.70	0.86	0.46	0.51
2	1.28	0.80	0.43	0.46
3	2.01	0.89	0.42	0.47
4	4.09	0.87	0.44	0.46
5	8.48	0.79	0.44	0.46
6	11.72	0.96	0.51	0.55
7	22.43	0.93	0.58	0.67
8	11.37	0.77	0.53	0.57
9	10.86	0.71	0.46	0.52
10	3.90	0.68	0.39	0.43
11	2.14	0.72	0.44	0.47
12	2.93	0.86	0.43	0.45
