month	pr	tas	uas	vas
1	3.18	0.88	0.44	0.53
2	1.33	1.01	0.42	0.49
3	3.03	0.96	0.47	0.56
4	4.56	1.07	0.48	0.54
5	7.06	0.92	0.48	0.51
6	14.31	1.08	0.59	0.70
7	19.27	0.93	0.61	0.75
8	8.21	0.79	0.55	0.64
9	7.22	0.98	0.48	0.63
10	2.94	0.86	0.40	0.49
11	2.03	0.93	0.45	0.49
12	1.60	1.15	0.41	0.47
