metric	prcp	t2m	u10m	v10m
RMSE	0.004	-0.066	-0.023	-0.063
MAE	-0.014	-0.054	-0.017	-0.044
CORR	-0.017	0.002	0.012	0.018
CRPS	-0.514	-0.201	-0.112	-0.146
STD_DEV	1.371	0.360	0.248	0.301
