metric	prcp	t2m	u10m	v10m
RMSE	8.53	0.39	0.74	0.87
MAE	3.88	0.29	0.55	0.65
CRPS	3.88	0.29	0.55	0.65
STD_DEV	0.00	0.00	0.00	0.00
