metric	prcp	t2m	u10m	v10m
RMSE	10.80	3.55	1.34	1.95
MAE	7.15	2.64	1.17	1.70
CRPS	7.15	2.64	1.17	1.70
STD_DEV	0.00	0.00	0.00	0.00
