metric	prcp	t2m	u10m	v10m
RMSE	11.20	0.75	0.42	0.46
MAE	6.04	0.61	0.31	0.34
CORR	0.40	0.99	0.92	0.92
CRPS	5.35	0.46	0.23	0.25
STD_DEV	2.10	0.45	0.28	0.32
