month	prcp	t2m	u10m	v10m
1	2.94	0.58	0.67	0.83
2	3.06	0.57	0.72	0.89
3	3.24	0.57	0.79	0.96
4	3.58	0.58	0.85	1.01
5	6.66	0.61	1.04	1.22
6	10.55	0.60	1.15	1.38
7	8.15	0.53	1.16	1.29
8	10.16	0.57	1.26	1.38
9	9.36	0.55	1.19	1.40
10	7.64	0.52	0.96	1.19
11	3.77	0.53	0.72	0.89
12	3.13	0.63	0.68	0.83
