metric	prcp	t2m	u10m	v10m
RMSE	0.071	-0.038	-0.004	-0.009
MAE	0.075	-0.026	-0.003	-0.011
CORR	-0.020	0.001	-0.000	0.001
CRPS	-0.366	-0.094	-0.084	-0.114
STD_DEV	1.283	0.147	0.173	0.222
