metric	prcp	t2m	u10m	v10m
RMSE	8.71	0.39	0.74	0.87
MAE	4.09	0.29	0.56	0.66
CRPS	4.09	0.29	0.56	0.66
STD_DEV	0.00	0.00	0.00	0.00
