metric	prcp	t2m	u10m	v10m
RMSE	0.017	-0.035	-0.019	-0.057
MAE	0.019	-0.024	-0.013	-0.047
CORR	0.001	0.001	0.014	0.017
CRPS	-0.560	-0.176	-0.103	-0.142
STD_DEV	1.578	0.408	0.264	0.305
