metric	prcp	t2m	u10m	v10m
RMSE	8.46	0.60	0.49	0.58
MAE	4.34	0.48	0.37	0.44
CORR	0.48	0.99	0.92	0.93
CRPS	4.34	0.48	0.37	0.44
STD_DEV	0.00	0.00	0.00	0.00
