metric	prcp	t2m	u10m	v10m
RMSE	4.49	0.68	0.45	0.48
MAE	2.57	0.54	0.34	0.37
CORR	0.66	0.99	0.92	0.92
CRPS	2.57	0.54	0.34	0.37
STD_DEV	0.00	0.00	0.00	0.00
