metric	prcp	t2m	u10m	v10m
RMSE	0.032	-0.014	-0.011	-0.037
MAE	0.027	-0.006	-0.006	-0.028
CORR	-0.006	0.002	0.013	0.014
CRPS	-0.527	-0.156	-0.099	-0.130
STD_DEV	1.463	0.370	0.268	0.303
