metric	prcp	t2m	u10m	v10m
RMSE	11.54	0.95	0.54	0.61
MAE	6.05	0.78	0.42	0.47
CORR	0.39	0.98	0.88	0.89
CRPS	6.05	0.78	0.42	0.47
STD_DEV	0.00	0.00	0.00	0.00
