metric	prcp	t2m	u10m	v10m
RMSE	8.33	0.58	0.45	0.53
MAE	4.29	0.46	0.34	0.39
CORR	0.52	0.99	0.94	0.94
CRPS	4.29	0.46	0.34	0.39
STD_DEV	0.00	0.00	0.00	0.00
