year_bin	prcp	t2m	u10m	v10m
2015-2024	10.81	1.00	0.57	0.59
2025-2034	11.17	1.00	0.57	0.60
2035-2044	11.87	0.96	0.57	0.60
2045-2054	12.02	0.96	0.57	0.60
2055-2064	12.97	0.99	0.58	0.61
2065-2074	13.32	0.98	0.58	0.62
2075-2080	13.19	1.01	0.58	0.63
