metric	prcp	t2m	u10m	v10m
RMSE	0.038	-0.027	-0.001	-0.026
MAE	0.078	-0.022	0.005	-0.013
CORR	-0.017	0.002	-0.006	-0.006
CRPS	-0.382	-0.171	-0.102	-0.137
STD_DEV	1.227	0.305	0.237	0.277
