metric	prcp	t2m	u10m	v10m
RMSE	11.25	0.78	0.46	0.50
MAE	6.08	0.63	0.34	0.38
CORR	0.42	0.99	0.91	0.91
CRPS	6.08	0.63	0.34	0.38
STD_DEV	0.00	0.00	0.00	0.00
