metric	prcp	t2m	u10m	v10m
RMSE	0.013	-0.063	-0.020	-0.054
MAE	-0.001	-0.052	-0.015	-0.039
CORR	-0.022	0.001	0.009	0.014
CRPS	-0.429	-0.181	-0.096	-0.127
STD_DEV	1.156	0.316	0.225	0.260
