metric	prcp	t2m	u10m	v10m
RMSE	14.96	2.03	1.28	1.39
MAE	8.60	1.77	0.89	1.01
CORR	0.20	0.97	0.48	0.49
CRPS	7.98	1.58	0.78	0.88
STD_DEV	1.70	0.41	0.27	0.31
