metric	prcp	t2m	u10m	v10m
RMSE	14.68	1.03	0.61	0.68
MAE	8.79	0.84	0.46	0.52
CORR	0.33	0.98	0.86	0.85
CRPS	8.79	0.84	0.46	0.52
STD_DEV	0.00	0.00	0.00	0.00
