metric	prcp	t2m	u10m	v10m
RMSE	8.56	0.58	0.48	0.56
MAE	4.46	0.46	0.36	0.42
CRPS	4.46	0.46	0.36	0.42
STD_DEV	0.00	0.00	0.00	0.00
