year_bin	prcp	t2m
2015-2024	7.93	3.00
2025-2034	7.47	3.08
2035-2044	8.38	3.17
2045-2054	7.61	3.09
2055-2064	7.91	3.04
2065-2074	8.24	2.89
2075-2080	9.78	3.38
