year_bin	prcp	t2m
2015-2024	0.23	0.96
2025-2034	0.23	0.95
2035-2044	0.24	0.95
2045-2054	0.23	0.95
2055-2064	0.21	0.95
2065-2074	0.22	0.95
2075-2080	0.22	0.95
