year_bin	prcp	t2m
2015-2024	13.22	3.37
2025-2034	12.78	3.42
2035-2044	13.90	3.50
2045-2054	12.96	3.43
2055-2064	13.39	3.38
2065-2074	13.85	3.23
2075-2080	15.67	3.70
