month	prcp	t2m	u10m	v10m
1	2.74	0.78	0.85	1.01
2	2.69	0.74	0.83	1.02
3	2.29	0.78	0.69	0.83
4	3.14	0.72	0.70	0.81
5	4.43	0.73	0.76	0.92
6	7.65	0.80	0.73	0.90
7	6.98	0.84	0.83	0.87
8	8.34	0.86	0.99	0.90
9	8.27	0.84	0.79	0.83
10	6.85	0.81	0.82	1.02
11	1.73	0.77	0.76	0.88
12	3.10	0.80	0.86	1.03
