metric	prcp	t2m	u10m	v10m
RMSE	13.88	2.20	1.32	1.53
MAE	7.41	1.91	0.99	1.14
CORR	0.21	0.93	0.45	0.46
CRPS	6.87	1.73	0.87	1.01
STD_DEV	1.50	0.36	0.27	0.30
