month	prcp	t2m
1	0.36	0.94
2	0.33	0.93
3	0.28	0.93
4	0.18	0.94
5	0.15	0.96
6	0.12	0.97
7	0.09	0.97
8	0.11	0.97
9	0.13	0.97
10	0.26	0.97
11	0.37	0.95
12	0.35	0.95
