month	prcp	t2m
1	4.47	4.80
2	5.26	4.68
3	6.47	4.04
4	7.72	3.50
5	15.09	2.76
6	23.60	2.61
7	22.32	2.83
8	29.09	2.37
9	22.81	2.47
10	13.36	3.27
11	6.67	3.74
12	5.29	4.00
