month	prcp	t2m
1	2.42	4.45
2	3.13	4.30
3	3.97	3.64
4	5.02	3.15
5	9.59	2.44
6	15.72	2.29
7	13.52	2.49
8	18.31	2.05
9	12.74	2.14
10	6.64	2.97
11	3.11	3.40
12	2.58	3.65
