metric	prcp	t2m	u10m	v10m
RMSE	14.35	0.99	0.61	0.64
MAE	8.16	0.80	0.47	0.49
CORR	0.30	0.98	0.88	0.88
CRPS	7.70	0.67	0.38	0.40
STD_DEV	1.24	0.32	0.23	0.27
