metric	prcp	t2m	u10m	v10m
RMSE	0.103	0.026	0.018	0.028
CRPS	0.148	0.019	0.017	0.025
MAE	0.148	0.019	0.017	0.025
STD_DEV	0.000	0.000	0.000	0.000
