year_bin	prcp	t2m	u10m	v10m
2015-2024	11.33	0.91	0.58	0.54
2025-2034	11.23	0.89	0.58	0.55
2035-2044	12.30	0.87	0.57	0.55
2045-2054	12.03	0.86	0.57	0.55
2055-2064	13.43	0.88	0.58	0.57
2065-2074	13.64	0.90	0.58	0.58
2075-2080	13.17	0.93	0.58	0.59
