metric	prcp	t2m	u10m	v10m
RMSE	0.015	-0.022	-0.002	-0.056
MAE	0.008	-0.012	0.005	-0.044
CORR	-0.002	0.001	0.014	0.016
CRPS	-0.632	-0.171	-0.099	-0.150
STD_DEV	1.725	0.415	0.271	0.312
