year_bin	prcp	t2m	u10m	v10m
2015-2024	11.06	1.23	0.63	0.74
2025-2034	12.04	1.20	0.64	0.75
2035-2044	12.29	1.20	0.64	0.75
2045-2054	12.02	1.19	0.63	0.75
2055-2064	11.95	1.18	0.63	0.74
2065-2074	13.35	1.20	0.65	0.76
2075-2080	13.41	1.19	0.65	0.77
