month	prcp	t2m
1	2.35	3.47
2	3.68	3.61
3	3.22	3.19
4	5.29	2.64
5	10.66	2.08
6	17.98	2.05
7	13.81	2.31
8	18.62	1.88
9	13.52	2.02
10	6.80	2.55
11	2.86	2.78
12	2.86	2.79
