month	prcp	t2m
1	0.35	0.94
2	0.33	0.94
3	0.26	0.94
4	0.18	0.95
5	0.15	0.97
6	0.13	0.97
7	0.08	0.97
8	0.13	0.97
9	0.12	0.97
10	0.26	0.97
11	0.37	0.96
12	0.37	0.95
