month	prcp	t2m
1	4.40	3.86
2	6.07	4.01
3	5.43	3.62
4	8.21	2.99
5	16.59	2.39
6	26.35	2.37
7	22.95	2.67
8	29.88	2.21
9	24.04	2.35
10	13.50	2.90
11	6.33	3.16
12	5.71	3.18
