month	prcp	t2m	u10m	v10m
1	1.19	0.43	0.32	0.40
2	0.84	0.45	0.33	0.39
3	1.19	0.49	0.32	0.39
4	2.64	0.48	0.33	0.41
5	4.89	0.54	0.38	0.45
6	7.16	0.38	0.33	0.40
7	7.80	0.39	0.37	0.41
8	10.25	0.42	0.42	0.44
9	7.43	0.35	0.36	0.43
10	4.89	0.39	0.34	0.41
11	0.81	0.36	0.29	0.35
12	1.17	0.48	0.33	0.39
