metric	prcp	t2m	u10m	v10m
RMSE	17.87	2.14	1.36	1.60
MAE	10.28	1.84	0.95	1.13
CORR	0.15	0.96	0.44	0.43
CRPS	10.28	1.84	0.95	1.13
STD_DEV	0.00	0.00	0.00	0.00
