metric	prcp	t2m	u10m	v10m
RMSE	1.581	0.490	0.429	0.680
MAE	1.934	0.383	0.369	0.554
CORR	-0.110	-0.021	-0.170	-0.240
CRPS	1.097	0.233	0.329	0.556
STD_DEV	10.881	2.656	2.073	3.063
