metric	pr	tas	uas	vas
RMSE	11.89	1.16	0.64	0.74
MAE	6.26	0.96	0.48	0.57
CORR	0.31	0.97	0.85	0.86
CRPS	6.26	0.96	0.48	0.57
STD_DEV	0.00	0.00	0.00	0.00
SSR	0.00	0.00	0.00	0.00
