metric	prcp	t2m	u10m	v10m
RMSE	-0.004	-0.101	-0.031	-0.090
MAE	0.001	-0.089	-0.018	-0.066
CORR	-0.009	0.004	0.016	0.020
CRPS	-0.475	-0.235	-0.117	-0.177
STD_DEV	1.282	0.335	0.260	0.309
