month	prcp	t2m	u10m	v10m
1	0.46	0.99	0.93	0.94
2	0.46	0.99	0.91	0.92
3	0.33	0.99	0.89	0.90
4	0.23	0.99	0.87	0.85
5	0.24	0.99	0.85	0.84
6	0.26	0.99	0.80	0.77
7	0.30	0.98	0.82	0.81
8	0.29	0.98	0.84	0.80
9	0.26	0.99	0.84	0.78
10	0.34	0.99	0.90	0.92
11	0.36	0.99	0.92	0.93
12	0.45	0.99	0.92	0.95
