month	prcp	t2m	u10m	v10m
1	0.33	0.99	0.90	0.93
2	0.33	0.99	0.90	0.93
3	0.28	0.98	0.89	0.90
4	0.25	0.98	0.88	0.87
5	0.24	0.98	0.84	0.84
6	0.28	0.98	0.82	0.83
7	0.25	0.98	0.84	0.82
8	0.26	0.98	0.79	0.79
9	0.22	0.99	0.83	0.81
10	0.25	0.98	0.91	0.93
11	0.34	0.99	0.93	0.95
12	0.44	0.99	0.94	0.96
