year_bin	prcp	t2m	u10m	v10m
2015-2024	-0.508	-0.172	-0.108	-0.138
2025-2034	-0.498	-0.169	-0.107	-0.137
2035-2044	-0.526	-0.170	-0.108	-0.139
2045-2054	-0.515	-0.170	-0.106	-0.137
2055-2064	-0.504	-0.168	-0.105	-0.136
2065-2074	-0.509	-0.169	-0.106	-0.137
2075-2080	-0.512	-0.169	-0.105	-0.136
