metric	prcp	t2m	u10m	v10m
RMSE	8.35	0.55	0.44	0.50
MAE	4.29	0.44	0.32	0.37
CRPS	3.90	0.34	0.25	0.29
STD_DEV	1.19	0.24	0.20	0.27
