month	prcp	t2m	u10m	v10m
1	1.05	0.43	0.29	0.35
2	0.80	0.42	0.30	0.37
3	1.07	0.48	0.30	0.35
4	2.54	0.48	0.31	0.37
5	4.77	0.50	0.36	0.42
6	7.21	0.40	0.32	0.37
7	8.47	0.43	0.35	0.37
8	9.98	0.48	0.41	0.42
9	8.35	0.38	0.34	0.39
10	5.11	0.40	0.32	0.38
11	0.75	0.34	0.26	0.32
12	1.14	0.47	0.30	0.36
