metric	prcp	t2m	u10m	v10m
RMSE	0.021	-0.010	0.000	-0.017
MAE	0.036	-0.007	0.003	0.001
CORR	-0.022	0.000	0.001	0.000
CRPS	-0.431	-0.160	-0.097	-0.113
STD_DEV	1.259	0.320	0.228	0.263
