metric	prcp	t2m	u10m	v10m
RMSE	0.009	-0.096	-0.028	-0.084
MAE	0.018	-0.085	-0.016	-0.062
CORR	-0.011	0.003	0.014	0.018
CRPS	-0.444	-0.224	-0.111	-0.168
STD_DEV	1.226	0.324	0.253	0.297
