metric	prcp	t2m	u10m	v10m
RMSE	0.041	-0.082	-0.013	-0.045
MAE	0.033	-0.069	-0.008	-0.030
CORR	-0.019	0.001	0.008	0.013
CRPS	-0.419	-0.204	-0.098	-0.125
STD_DEV	1.238	0.320	0.230	0.265
