metric	prcp	t2m	u10m	v10m
RMSE	8.37	0.55	0.48	0.55
MAE	4.64	0.44	0.36	0.42
CRPS	4.64	0.44	0.36	0.42
STD_DEV	0.00	0.00	0.00	0.00
