month	prcp	t2m	u10m	v10m
1	2.47	0.58	0.44	0.53
2	1.86	0.59	0.44	0.53
3	2.38	0.61	0.44	0.52
4	5.05	0.63	0.46	0.55
5	9.41	0.67	0.52	0.61
6	14.65	0.53	0.47	0.56
7	15.97	0.56	0.50	0.56
8	18.71	0.60	0.58	0.58
9	15.21	0.51	0.49	0.58
10	11.34	0.53	0.46	0.55
11	2.27	0.49	0.40	0.49
12	2.27	0.62	0.45	0.54
