year_bin	prcp	t2m
2015-2024	12.16	3.00
2025-2034	13.61	2.92
2035-2044	13.47	2.97
2045-2054	13.26	3.02
2055-2064	13.69	2.94
2065-2074	15.43	2.91
2075-2080	15.60	2.89
