year_bin	prcp	t2m
2015-2024	7.16	2.62
2025-2034	8.15	2.57
2035-2044	7.88	2.60
2045-2054	7.85	2.65
2055-2064	8.16	2.57
2065-2074	9.48	2.55
2075-2080	9.54	2.53
