year_bin	prcp	t2m	u10m	v10m
2015-2024	5.80	1.01	0.48	0.57
2025-2034	6.30	0.99	0.49	0.57
2035-2044	6.39	0.99	0.49	0.57
2045-2054	6.21	0.99	0.48	0.57
2055-2064	6.18	0.98	0.48	0.57
2065-2074	7.03	0.99	0.50	0.58
2075-2080	7.07	0.98	0.49	0.59
