month	prcp	t2m	u10m	v10m
1	2.00	0.28	0.49	0.55
2	1.84	0.28	0.47	0.53
3	1.84	0.30	0.49	0.57
4	2.40	0.28	0.45	0.62
5	3.70	0.34	0.57	0.63
6	6.03	0.27	0.57	0.72
7	5.49	0.26	0.56	0.63
8	6.77	0.30	0.73	0.77
9	6.79	0.25	0.62	0.76
10	6.49	0.25	0.58	0.72
11	1.37	0.23	0.42	0.52
12	2.17	0.33	0.50	0.63
