metric	prcp	t2m	u10m	v10m
RMSE	8.60	0.38	0.72	0.85
MAE	3.92	0.28	0.54	0.64
CRPS	3.92	0.28	0.54	0.64
STD_DEV	0.00	0.00	0.00	0.00
