metric	prcp	t2m	u10m	v10m
RMSE	0.138	0.024	0.037	0.051
MAE	0.052	0.019	0.034	0.046
CORR	-0.041	-0.001	-0.010	-0.011
CRPS	0.052	0.019	0.034	0.046
STD_DEV	0.000	0.000	0.000	0.000
