metric	prcp	t2m	u10m	v10m
RMSE	8.42	0.59	0.47	0.54
MAE	4.34	0.46	0.35	0.41
CRPS	4.34	0.46	0.35	0.41
STD_DEV	0.00	0.00	0.00	0.00
